Category,OrderDate,Sales
Snacks,2016/7/6,2242
Snacks,2016/7/6,545
Fruits & Veggies,2016/7/6,1502
Beverages,2016/7/8,577
Beverages,2016/7/9,1794
Food Grains,2016/7/9,1947
"Eggs, Meat & Fish",2016/7/9,1565
Snacks,2016/7/9,1322
Bakery,2016/7/9,1782
"Eggs, Meat & Fish",2016/7/9,2301
Food Grains,2016/7/9,1775
Snacks,2016/7/9,2469
Snacks,2016/7/9,2144
Oil & Masala,2016/7/9,830
Oil & Masala,2016/7/9,1508
Snacks,2016/7/9,909
Oil & Masala,2016/7/9,632
Food Grains,2016/7/9,840
Food Grains,2016/7/10,1561
Snacks,2016/7/10,1747
Bakery,2016/7/11,1268
Fruits & Veggies,2016/7/11,1482
Bakery,2016/7/11,967
Bakery,2016/7/11,2241
Food Grains,2016/7/11,1088
Fruits & Veggies,2016/7/11,919
"Eggs, Meat & Fish",2016/7/11,2387
Snacks,2016/7/11,746
Bakery,2016/7/11,1302
Fruits & Veggies,2016/7/11,2354
Snacks,2016/7/11,1333
Bakery,2016/7/12,1753
Bakery,2016/7/12,1840
Oil & Masala,2016/7/12,1413
Fruits & Veggies,2016/7/12,2144
Snacks,2016/7/12,1053
"Eggs, Meat & Fish",2016/7/12,864
Snacks,2016/7/12,1848
Snacks,2016/7/12,768
Food Grains,2016/7/13,1203
Oil & Masala,2016/7/13,1514
Fruits & Veggies,2016/7/13,1699
Beverages,2016/7/13,562
"Eggs, Meat & Fish",2016/7/13,1711
Bakery,2016/7/14,1764
Snacks,2016/7/14,1972
Oil & Masala,2016/7/14,1377
Beverages,2016/7/14,1103
Snacks,2016/7/16,1602
Fruits & Veggies,2016/7/16,1483
Bakery,2016/7/16,1186
Bakery,2016/7/16,887
Beverages,2016/7/16,893
Bakery,2016/7/16,2226
"Eggs, Meat & Fish",2016/7/16,1264
Beverages,2016/7/17,2307
Fruits & Veggies,2016/7/17,1517
Fruits & Veggies,2016/7/17,1735
"Eggs, Meat & Fish",2016/7/17,2252
Food Grains,2016/7/18,1530
Food Grains,2016/7/18,1601
Bakery,2016/7/18,2321
Bakery,2016/7/18,2239
Oil & Masala,2016/7/18,1036
Bakery,2016/7/19,1506
Oil & Masala,2016/7/20,1890
Fruits & Veggies,2016/7/20,1422
Bakery,2016/7/20,2259
Beverages,2016/7/20,548
Food Grains,2016/7/20,2190
"Eggs, Meat & Fish",2016/7/20,1671
Beverages,2016/7/20,1545
Snacks,2016/7/20,1400
Beverages,2016/7/20,959
Fruits & Veggies,2016/7/20,1615
Oil & Masala,2016/7/23,864
Fruits & Veggies,2016/7/23,1239
"Eggs, Meat & Fish",2016/7/23,584
Beverages,2016/7/24,2068
"Eggs, Meat & Fish",2016/7/24,774
Snacks,2016/7/24,1609
"Eggs, Meat & Fish",2016/7/24,2401
Food Grains,2016/7/25,2331
Snacks,2016/7/25,1579
Oil & Masala,2016/7/25,1283
"Eggs, Meat & Fish",2016/7/25,1666
Fruits & Veggies,2016/7/25,2411
Snacks,2016/7/25,1058
"Eggs, Meat & Fish",2016/7/25,1680
Fruits & Veggies,2016/7/25,664
Fruits & Veggies,2016/7/26,1140
Beverages,2016/7/26,2500
Bakery,2016/7/26,563
Food Grains,2016/7/26,1841
Food Grains,2016/7/26,2097
Food Grains,2016/7/26,716
Snacks,2016/7/26,2045
Snacks,2016/7/27,1631
Snacks,2016/7/30,884
Fruits & Veggies,2016/7/30,2443
Bakery,2016/7/30,1147
Oil & Masala,2016/7/30,2183
Food Grains,2016/7/30,1193
Oil & Masala,2016/7/31,1139
Oil & Masala,2016/7/31,795
Fruits & Veggies,2016/7/31,1238
Beverages,2016/7/31,1729
Bakery,2016/7/31,2500
"Eggs, Meat & Fish",2016/8/1,1423
Beverages,2016/8/1,1087
Fruits & Veggies,2016/8/2,981
Bakery,2016/8/2,1777
Oil & Masala,2016/8/2,2357
Food Grains,2016/8/2,1224
Snacks,2016/8/2,1955
Beverages,2016/8/2,2392
Fruits & Veggies,2016/8/2,1122
Beverages,2016/8/5,1340
Bakery,2016/8/5,715
Food Grains,2016/8/5,2230
"Eggs, Meat & Fish",2016/8/5,1456
"Eggs, Meat & Fish",2016/8/6,557
Food Grains,2016/8/6,2152
Bakery,2016/8/6,1346
Food Grains,2016/8/6,1035
Snacks,2016/8/6,1228
Bakery,2016/8/7,817
"Eggs, Meat & Fish",2016/8/7,1730
Oil & Masala,2016/8/7,858
Oil & Masala,2016/8/7,833
Snacks,2016/8/7,1090
Bakery,2016/8/7,2325
Bakery,2016/8/7,1777
Oil & Masala,2016/8/7,1826
Fruits & Veggies,2016/8/8,2338
Fruits & Veggies,2016/8/8,1278
Fruits & Veggies,2016/8/8,585
Snacks,2016/8/8,1769
Fruits & Veggies,2016/8/8,1894
Food Grains,2016/8/8,1816
"Eggs, Meat & Fish",2016/8/8,695
"Eggs, Meat & Fish",2016/8/9,621
Food Grains,2016/8/9,1230
Snacks,2016/8/9,560
Beverages,2016/8/9,2273
"Eggs, Meat & Fish",2016/8/9,1123
Beverages,2016/8/9,1596
"Eggs, Meat & Fish",2016/8/9,1400
Bakery,2016/8/9,1637
Bakery,2016/8/9,2139
Food Grains,2016/8/9,1936
Beverages,2016/8/9,2414
Beverages,2016/8/9,1304
Beverages,2016/8/9,1405
Bakery,2016/8/9,2165
Bakery,2016/8/9,2109
"Eggs, Meat & Fish",2016/8/9,818
Beverages,2016/8/9,802
Food Grains,2016/8/10,1050
Beverages,2016/8/10,1514
Bakery,2016/8/10,884
Bakery,2016/8/10,1042
Beverages,2016/8/10,550
"Eggs, Meat & Fish",2016/8/10,1652
Beverages,2016/8/10,821
Beverages,2016/8/11,732
Oil & Masala,2016/8/11,560
"Eggs, Meat & Fish",2016/8/11,540
Beverages,2016/8/13,1033
Food Grains,2016/8/13,1568
Bakery,2016/8/13,2048
Fruits & Veggies,2016/8/13,1995
Oil & Masala,2016/8/13,2213
Fruits & Veggies,2016/8/13,2176
Beverages,2016/8/15,1801
Fruits & Veggies,2016/8/15,1103
"Eggs, Meat & Fish",2016/8/15,502
Snacks,2016/8/16,815
"Eggs, Meat & Fish",2016/8/16,1508
Snacks,2016/8/16,1396
Bakery,2016/8/16,609
Snacks,2016/8/16,542
Snacks,2016/8/16,2482
Snacks,2016/8/16,1557
Snacks,2016/8/16,2380
Snacks,2016/8/16,1262
Fruits & Veggies,2016/8/16,2347
Beverages,2016/8/16,1259
Oil & Masala,2016/8/16,775
Bakery,2016/8/16,582
Food Grains,2016/8/17,2358
Bakery,2016/8/17,794
"Eggs, Meat & Fish",2016/8/17,2306
Bakery,2016/8/17,1450
Fruits & Veggies,2016/8/17,551
Food Grains,2016/8/21,1273
Food Grains,2016/8/21,1072
"Eggs, Meat & Fish",2016/8/21,1794
Bakery,2016/8/21,1889
Beverages,2016/8/21,871
Oil & Masala,2016/8/21,664
"Eggs, Meat & Fish",2016/8/21,1154
Bakery,2016/8/21,2329
Beverages,2016/8/21,1622
Oil & Masala,2016/8/21,1908
Food Grains,2016/8/21,1531
Fruits & Veggies,2016/8/21,1180
Food Grains,2016/8/21,2373
"Eggs, Meat & Fish",2016/8/21,2259
Snacks,2016/8/21,665
Food Grains,2016/8/21,746
Food Grains,2016/8/22,2425
"Eggs, Meat & Fish",2016/8/22,1309
Fruits & Veggies,2016/8/23,583
Bakery,2016/8/23,1511
Beverages,2016/8/23,1598
Food Grains,2016/8/23,1375
Beverages,2016/8/23,604
Beverages,2016/8/23,1531
Food Grains,2016/8/23,1332
Fruits & Veggies,2016/8/23,1330
Snacks,2016/8/23,2291
Bakery,2016/8/23,1500
Food Grains,2016/8/23,1867
Beverages,2016/8/24,1562
Fruits & Veggies,2016/8/24,2398
Bakery,2016/8/24,2372
Beverages,2016/8/24,1527
"Eggs, Meat & Fish",2016/8/24,1888
Snacks,2016/8/24,2354
Food Grains,2016/8/24,1824
Fruits & Veggies,2016/8/24,547
Bakery,2016/8/24,865
Food Grains,2016/8/24,1719
Snacks,2016/8/24,1875
"Eggs, Meat & Fish",2016/8/24,1490
Bakery,2016/8/24,633
"Eggs, Meat & Fish",2016/8/24,863
Food Grains,2016/8/25,1996
Beverages,2016/8/25,2329
Food Grains,2016/8/25,1327
Snacks,2016/8/25,890
Food Grains,2016/8/25,1011
Fruits & Veggies,2016/8/27,1024
Beverages,2016/8/27,2199
Fruits & Veggies,2016/8/27,745
Beverages,2016/8/27,2215
Food Grains,2016/8/27,1566
Fruits & Veggies,2016/8/28,1105
Oil & Masala,2016/8/28,2152
Food Grains,2016/8/28,2060
Beverages,2016/8/28,1559
Food Grains,2016/8/28,654
Snacks,2016/8/28,1938
Oil & Masala,2016/8/28,784
Bakery,2016/8/28,779
Fruits & Veggies,2016/8/28,1608
Oil & Masala,2016/8/28,1453
Bakery,2016/8/29,2389
Oil & Masala,2016/8/29,776
Beverages,2016/8/31,1758
Food Grains,2016/8/31,1441
Oil & Masala,2016/8/31,2260
Snacks,2016/8/31,1693
Fruits & Veggies,2016/8/31,1440
Beverages,2016/8/31,865
Oil & Masala,2016/8/31,727
Oil & Masala,2016/9/1,1228
Food Grains,2016/9/1,1501
Fruits & Veggies,2016/9/1,1094
Food Grains,2016/9/1,811
Oil & Masala,2016/9/1,1790
Food Grains,2016/9/1,2319
Bakery,2016/9/1,1697
Beverages,2016/9/3,2354
Snacks,2016/9/3,1032
Bakery,2016/9/3,1597
"Eggs, Meat & Fish",2016/9/3,1537
Food Grains,2016/9/3,2478
Oil & Masala,2016/9/3,916
Snacks,2016/9/3,1692
Bakery,2016/9/3,2097
Bakery,2016/9/3,2239
Oil & Masala,2016/9/3,2281
Fruits & Veggies,2016/9/3,1715
Fruits & Veggies,2016/9/3,2182
"Eggs, Meat & Fish",2016/9/3,1244
Beverages,2016/9/3,711
Food Grains,2016/9/4,620
"Eggs, Meat & Fish",2016/9/4,1200
Beverages,2016/9/4,2184
Fruits & Veggies,2016/9/4,671
Beverages,2016/9/4,1115
Bakery,2016/9/4,501
Beverages,2016/9/4,556
Fruits & Veggies,2016/9/5,2341
Food Grains,2016/9/5,2012
Bakery,2016/9/5,1282
"Eggs, Meat & Fish",2016/9/5,2317
Food Grains,2016/9/5,1566
"Eggs, Meat & Fish",2016/9/5,1329
Bakery,2016/9/5,1344
Snacks,2016/9/5,921
Food Grains,2016/9/5,1604
Snacks,2016/9/6,2041
Oil & Masala,2016/9/6,2420
"Eggs, Meat & Fish",2016/9/6,567
Bakery,2016/9/6,984
"Eggs, Meat & Fish",2016/9/6,727
Fruits & Veggies,2016/9/6,1241
Snacks,2016/9/6,2009
"Eggs, Meat & Fish",2016/9/6,1896
Fruits & Veggies,2016/9/6,1568
"Eggs, Meat & Fish",2016/9/6,2203
Oil & Masala,2016/9/7,1551
Fruits & Veggies,2016/9/7,2008
Bakery,2016/9/7,1257
Bakery,2016/9/7,1254
Beverages,2016/9/7,1822
Beverages,2016/9/7,510
Fruits & Veggies,2016/9/7,595
Fruits & Veggies,2016/9/7,2252
Snacks,2016/9/7,2323
Food Grains,2016/9/7,1315
Fruits & Veggies,2016/9/7,1799
Beverages,2016/9/7,1126
Beverages,2016/9/7,964
"Eggs, Meat & Fish",2016/9/7,1559
Food Grains,2016/9/8,2069
Oil & Masala,2016/9/8,1998
Snacks,2016/9/8,1355
Fruits & Veggies,2016/9/10,2403
Food Grains,2016/9/10,599
"Eggs, Meat & Fish",2016/9/10,2097
Snacks,2016/9/10,1157
"Eggs, Meat & Fish",2016/9/10,988
Food Grains,2016/9/10,915
Food Grains,2016/9/10,1001
Food Grains,2016/9/10,1910
Fruits & Veggies,2016/9/10,1641
"Eggs, Meat & Fish",2016/9/11,791
Fruits & Veggies,2016/9/11,1005
"Eggs, Meat & Fish",2016/9/11,1784
Food Grains,2016/9/11,2384
Beverages,2016/9/11,1588
Food Grains,2016/9/11,2139
"Eggs, Meat & Fish",2016/9/11,1692
Beverages,2016/9/11,2015
Food Grains,2016/9/11,1253
Beverages,2016/9/11,1265
Bakery,2016/9/11,2154
Snacks,2016/9/11,1540
Beverages,2016/9/11,2431
Bakery,2016/9/12,1196
Fruits & Veggies,2016/9/12,2466
Oil & Masala,2016/9/12,1614
Beverages,2016/9/12,2126
"Eggs, Meat & Fish",2016/9/12,2257
"Eggs, Meat & Fish",2016/9/12,1291
Snacks,2016/9/12,952
Oil & Masala,2016/9/12,2498
Beverages,2016/9/12,999
Beverages,2016/9/13,1008
Fruits & Veggies,2016/9/13,1392
Bakery,2016/9/13,1054
"Eggs, Meat & Fish",2016/9/13,1787
Oil & Masala,2016/9/13,1893
"Eggs, Meat & Fish",2016/9/13,1665
Oil & Masala,2016/9/13,1513
Fruits & Veggies,2016/9/13,2106
Bakery,2016/9/13,567
Oil & Masala,2016/9/13,680
Food Grains,2016/9/13,2398
Oil & Masala,2016/9/13,701
Bakery,2016/9/13,2445
Bakery,2016/9/13,2198
Fruits & Veggies,2016/9/14,2410
Snacks,2016/9/14,989
Snacks,2016/9/14,1354
Beverages,2016/9/14,902
Oil & Masala,2016/9/14,1767
Bakery,2016/9/14,1544
Snacks,2016/9/14,1467
Fruits & Veggies,2016/9/15,1959
Snacks,2016/9/15,673
Oil & Masala,2016/9/15,1034
Beverages,2016/9/15,1081
Bakery,2016/9/15,1854
Oil & Masala,2016/9/15,1317
Fruits & Veggies,2016/9/15,2201
Bakery,2016/9/15,2171
"Eggs, Meat & Fish",2016/9/15,2216
Bakery,2016/9/15,1270
"Eggs, Meat & Fish",2016/9/15,2340
Oil & Masala,2016/9/15,1338
Beverages,2016/9/15,842
"Eggs, Meat & Fish",2016/9/15,725
Bakery,2016/9/16,717
Bakery,2016/9/17,979
Beverages,2016/9/17,1988
Oil & Masala,2016/9/17,989
Beverages,2016/9/17,1845
Snacks,2016/9/17,1400
Oil & Masala,2016/9/17,2163
Oil & Masala,2016/9/17,1689
Food Grains,2016/9/17,1069
Fruits & Veggies,2016/9/17,2349
Beverages,2016/9/17,1102
Food Grains,2016/9/17,594
"Eggs, Meat & Fish",2016/9/17,1618
Bakery,2016/9/17,2234
Snacks,2016/9/17,907
Beverages,2016/9/17,551
Fruits & Veggies,2016/9/17,1620
Fruits & Veggies,2016/9/17,814
"Eggs, Meat & Fish",2016/9/17,2129
"Eggs, Meat & Fish",2016/9/17,1464
Beverages,2016/9/17,565
Food Grains,2016/9/17,942
Beverages,2016/9/17,1388
Beverages,2016/9/17,629
Beverages,2016/9/18,980
Bakery,2016/9/18,931
Food Grains,2016/9/18,1454
Oil & Masala,2016/9/18,1579
Fruits & Veggies,2016/9/18,1666
Fruits & Veggies,2016/9/18,2389
Oil & Masala,2016/9/18,1020
Oil & Masala,2016/9/18,2363
Beverages,2016/9/18,969
"Eggs, Meat & Fish",2016/9/18,1298
"Eggs, Meat & Fish",2016/9/18,2203
Bakery,2016/9/18,2452
Bakery,2016/9/18,1634
Beverages,2016/9/18,1416
Food Grains,2016/9/19,1097
"Eggs, Meat & Fish",2016/9/19,2105
Fruits & Veggies,2016/9/19,2174
Food Grains,2016/9/19,1613
Fruits & Veggies,2016/9/19,1712
"Eggs, Meat & Fish",2016/9/19,2326
Snacks,2016/9/20,959
Snacks,2016/9/20,2211
Beverages,2016/9/20,893
Fruits & Veggies,2016/9/20,642
Bakery,2016/9/20,862
Bakery,2016/9/20,896
Beverages,2016/9/20,560
Snacks,2016/9/21,1998
"Eggs, Meat & Fish",2016/9/21,924
Snacks,2016/9/21,1412
Fruits & Veggies,2016/9/21,622
Beverages,2016/9/21,2429
Fruits & Veggies,2016/9/21,2203
Bakery,2016/9/21,1777
Food Grains,2016/9/21,1349
Beverages,2016/9/21,829
Fruits & Veggies,2016/9/21,2064
Fruits & Veggies,2016/9/21,1863
"Eggs, Meat & Fish",2016/9/21,523
Snacks,2016/9/21,523
Bakery,2016/9/21,2154
Bakery,2016/9/21,1210
Fruits & Veggies,2016/9/21,1043
Fruits & Veggies,2016/9/21,542
Oil & Masala,2016/9/21,1943
Snacks,2016/9/21,1043
Bakery,2016/9/21,2429
Bakery,2016/9/22,945
"Eggs, Meat & Fish",2016/9/22,1923
Fruits & Veggies,2016/9/22,1759
Snacks,2016/9/22,1524
Food Grains,2016/9/22,1246
Food Grains,2016/9/22,1714
Fruits & Veggies,2016/9/22,829
Oil & Masala,2016/9/22,756
Bakery,2016/9/22,839
Fruits & Veggies,2016/9/22,688
Snacks,2016/9/22,1585
Beverages,2016/9/24,826
Snacks,2016/9/24,1992
Bakery,2016/9/24,2285
Snacks,2016/9/24,1415
Fruits & Veggies,2016/9/24,710
Beverages,2016/9/24,1833
Bakery,2016/9/24,1372
Oil & Masala,2016/9/24,561
Bakery,2016/9/24,531
Bakery,2016/9/24,1933
Fruits & Veggies,2016/9/24,949
Snacks,2016/9/24,1360
Fruits & Veggies,2016/9/24,1699
Food Grains,2016/9/24,1958
Bakery,2016/9/24,1895
Bakery,2016/9/24,695
Beverages,2016/9/24,583
"Eggs, Meat & Fish",2016/9/24,1699
Oil & Masala,2016/9/24,1520
"Eggs, Meat & Fish",2016/9/25,1100
Oil & Masala,2016/9/25,1588
Food Grains,2016/9/25,2278
Food Grains,2016/9/25,2174
Snacks,2016/9/25,1492
Snacks,2016/9/25,2049
Oil & Masala,2016/9/25,2115
Oil & Masala,2016/9/25,1655
Bakery,2016/9/25,2194
Oil & Masala,2016/9/25,658
Snacks,2016/9/25,1943
Oil & Masala,2016/9/25,599
"Eggs, Meat & Fish",2016/9/25,981
"Eggs, Meat & Fish",2016/9/25,1442
Oil & Masala,2016/9/25,580
Oil & Masala,2016/9/25,2443
Food Grains,2016/9/25,982
"Eggs, Meat & Fish",2016/9/25,1189
"Eggs, Meat & Fish",2016/9/25,1020
Snacks,2016/9/25,537
Oil & Masala,2016/9/25,768
Snacks,2016/9/26,1421
Fruits & Veggies,2016/9/26,1357
Bakery,2016/9/26,1544
Fruits & Veggies,2016/9/26,1537
Bakery,2016/9/26,1530
"Eggs, Meat & Fish",2016/9/26,839
Bakery,2016/9/26,1216
Snacks,2016/9/26,1251
Food Grains,2016/9/26,884
Snacks,2016/9/26,809
Bakery,2016/9/26,501
Beverages,2016/9/26,2341
Food Grains,2016/9/26,559
Oil & Masala,2016/9/26,1877
Fruits & Veggies,2016/9/26,906
Food Grains,2016/9/26,2031
Oil & Masala,2016/9/26,2347
Snacks,2016/9/26,2275
Fruits & Veggies,2016/9/26,1004
"Eggs, Meat & Fish",2016/9/26,2444
Bakery,2016/9/27,1703
Bakery,2016/9/27,991
Food Grains,2016/9/27,1944
Bakery,2016/9/27,594
Oil & Masala,2016/9/27,2060
"Eggs, Meat & Fish",2016/9/27,643
Beverages,2016/9/27,1634
"Eggs, Meat & Fish",2016/9/27,598
Snacks,2016/9/27,1309
Fruits & Veggies,2016/9/27,1334
Oil & Masala,2016/9/28,1617
Snacks,2016/9/28,1150
Bakery,2016/9/28,1965
Beverages,2016/9/28,1454
Fruits & Veggies,2016/9/28,1290
Bakery,2016/9/28,1914
Fruits & Veggies,2016/9/28,1396
"Eggs, Meat & Fish",2016/9/28,2004
Bakery,2016/9/28,1787
Oil & Masala,2016/9/28,1306
Bakery,2016/9/28,1349
Fruits & Veggies,2016/10/1,1915
Fruits & Veggies,2016/10/1,600
Fruits & Veggies,2016/10/1,871
Food Grains,2016/10/1,1701
Food Grains,2016/10/1,1063
Beverages,2016/10/1,1901
Snacks,2016/10/2,2440
Fruits & Veggies,2016/10/2,1520
"Eggs, Meat & Fish",2016/10/2,1450
"Eggs, Meat & Fish",2016/10/2,1678
Snacks,2016/10/2,2470
Beverages,2016/10/2,1343
"Eggs, Meat & Fish",2016/10/2,1408
Food Grains,2016/10/2,1306
Snacks,2016/10/2,862
Snacks,2016/10/2,1382
Food Grains,2016/10/2,597
Fruits & Veggies,2016/10/2,1361
Oil & Masala,2016/10/2,1614
Snacks,2016/10/2,519
Food Grains,2016/10/2,1205
"Eggs, Meat & Fish",2016/10/3,2196
Food Grains,2016/10/3,1856
Food Grains,2016/10/3,2406
"Eggs, Meat & Fish",2016/10/3,1746
Fruits & Veggies,2016/10/3,2452
Food Grains,2016/10/3,530
Bakery,2016/10/4,2151
Bakery,2016/10/4,575
"Eggs, Meat & Fish",2016/10/4,1483
"Eggs, Meat & Fish",2016/10/4,2108
Snacks,2016/10/5,938
Bakery,2016/10/5,2127
"Eggs, Meat & Fish",2016/10/5,1213
Beverages,2016/10/5,1773
Oil & Masala,2016/10/5,2273
Bakery,2016/10/5,1343
Snacks,2016/10/5,1856
Bakery,2016/10/8,783
Snacks,2016/10/8,1080
Food Grains,2016/10/8,650
Fruits & Veggies,2016/10/9,882
Fruits & Veggies,2016/10/9,593
Food Grains,2016/10/9,2121
Food Grains,2016/10/9,548
Bakery,2016/10/9,1919
Food Grains,2016/10/9,2053
Fruits & Veggies,2016/10/9,2463
Beverages,2016/10/9,633
Food Grains,2016/10/9,789
Beverages,2016/10/9,1179
"Eggs, Meat & Fish",2016/10/9,1648
Food Grains,2016/10/9,2105
Food Grains,2016/10/10,1684
Oil & Masala,2016/10/10,2328
Bakery,2016/10/10,2229
Fruits & Veggies,2016/10/10,2361
Bakery,2016/10/10,1531
Fruits & Veggies,2016/10/11,896
Food Grains,2016/10/11,2355
"Eggs, Meat & Fish",2016/10/11,1055
Beverages,2016/10/12,1433
Fruits & Veggies,2016/10/12,2093
Fruits & Veggies,2016/10/12,2149
Beverages,2016/10/12,1972
Oil & Masala,2016/10/12,2060
Bakery,2016/10/12,1970
Food Grains,2016/10/12,588
Food Grains,2016/10/12,1891
Oil & Masala,2016/10/12,726
"Eggs, Meat & Fish",2016/10/12,2226
Bakery,2016/10/12,1791
Food Grains,2016/10/13,652
Bakery,2016/10/13,2076
Fruits & Veggies,2016/10/15,1179
Fruits & Veggies,2016/10/15,613
Food Grains,2016/10/15,1192
"Eggs, Meat & Fish",2016/10/15,1717
Beverages,2016/10/15,922
Fruits & Veggies,2016/10/15,587
"Eggs, Meat & Fish",2016/10/15,1505
Snacks,2016/10/15,1927
Bakery,2016/10/16,1748
Food Grains,2016/10/17,1925
Oil & Masala,2016/10/18,2171
Fruits & Veggies,2016/10/18,1845
"Eggs, Meat & Fish",2016/10/18,2034
"Eggs, Meat & Fish",2016/10/18,1002
Snacks,2016/10/18,870
Oil & Masala,2016/10/19,1970
Oil & Masala,2016/10/19,655
Bakery,2016/10/19,824
Food Grains,2016/10/19,1238
Oil & Masala,2016/10/19,1353
Food Grains,2016/10/19,2289
Bakery,2016/10/20,1567
Snacks,2016/10/20,1999
Oil & Masala,2016/10/20,2305
Fruits & Veggies,2016/10/20,1083
"Eggs, Meat & Fish",2016/10/20,667
Fruits & Veggies,2016/10/22,2315
Bakery,2016/10/22,2383
Beverages,2016/10/23,555
Bakery,2016/10/23,668
Beverages,2016/10/23,1603
Beverages,2016/10/23,2302
Snacks,2016/10/23,735
Fruits & Veggies,2016/10/23,1818
Snacks,2016/10/23,716
Oil & Masala,2016/10/23,983
Snacks,2016/10/23,1435
Snacks,2016/10/23,1958
Oil & Masala,2016/10/23,1755
Food Grains,2016/10/23,1303
"Eggs, Meat & Fish",2016/10/23,1748
"Eggs, Meat & Fish",2016/10/23,2162
Beverages,2016/10/23,2413
Oil & Masala,2016/10/24,1230
Beverages,2016/10/24,676
Oil & Masala,2016/10/24,1322
Beverages,2016/10/24,1403
Fruits & Veggies,2016/10/24,2342
Oil & Masala,2016/10/25,720
"Eggs, Meat & Fish",2016/10/25,2232
Bakery,2016/10/25,785
Oil & Masala,2016/10/25,2229
Bakery,2016/10/25,2344
Bakery,2016/10/25,1622
Food Grains,2016/10/26,930
Food Grains,2016/10/26,1487
Bakery,2016/10/26,1947
Bakery,2016/10/26,1108
Food Grains,2016/10/26,1705
Bakery,2016/10/26,2360
"Eggs, Meat & Fish",2016/10/26,2282
Food Grains,2016/10/26,1667
Snacks,2016/10/28,1805
Oil & Masala,2016/10/28,1700
Beverages,2016/10/28,1010
Bakery,2016/10/28,748
Fruits & Veggies,2016/10/29,865
Bakery,2016/10/29,926
Fruits & Veggies,2016/10/30,1073
Beverages,2016/10/30,1278
Food Grains,2016/10/30,1127
"Eggs, Meat & Fish",2016/10/30,1979
Snacks,2016/10/30,1253
Food Grains,2016/10/30,2353
Food Grains,2016/10/30,2071
"Eggs, Meat & Fish",2016/10/31,1175
Snacks,2016/10/31,647
Food Grains,2016/10/31,2409
"Eggs, Meat & Fish",2016/10/31,1335
Food Grains,2016/10/31,2323
Food Grains,2016/10/31,670
Beverages,2016/10/31,1136
Snacks,2016/10/31,2171
Bakery,2016/10/31,790
"Eggs, Meat & Fish",2016/10/31,2452
Snacks,2016/10/31,1519
Fruits & Veggies,2016/10/31,1250
Snacks,2016/10/31,1646
Beverages,2016/10/31,1785
Food Grains,2016/10/31,769
Beverages,2016/10/31,686
Snacks,2016/10/31,514
Fruits & Veggies,2016/11/1,2417
Beverages,2016/11/1,2153
Oil & Masala,2016/11/1,2317
Snacks,2016/11/1,2276
Beverages,2016/11/1,1630
Oil & Masala,2016/11/1,1220
Fruits & Veggies,2016/11/1,1878
Oil & Masala,2016/11/1,1783
Bakery,2016/11/1,522
Fruits & Veggies,2016/11/1,929
Bakery,2016/11/1,1339
Bakery,2016/11/1,2417
Beverages,2016/11/2,1007
Snacks,2016/11/2,1318
Snacks,2016/11/2,2207
Snacks,2016/11/2,602
Beverages,2016/11/2,1366
Food Grains,2016/11/2,1062
Fruits & Veggies,2016/11/2,723
Oil & Masala,2016/11/2,917
Snacks,2016/11/2,2449
Oil & Masala,2016/11/2,1398
"Eggs, Meat & Fish",2016/11/2,821
Oil & Masala,2016/11/3,1324
Snacks,2016/11/3,1989
Bakery,2016/11/3,1773
Snacks,2016/11/3,2053
Snacks,2016/11/3,1460
Beverages,2016/11/5,2120
Oil & Masala,2016/11/5,1087
Fruits & Veggies,2016/11/5,1790
Snacks,2016/11/5,2002
"Eggs, Meat & Fish",2016/11/5,1829
Snacks,2016/11/5,571
"Eggs, Meat & Fish",2016/11/5,867
"Eggs, Meat & Fish",2016/11/5,1229
Snacks,2016/11/6,683
Bakery,2016/11/6,2484
"Eggs, Meat & Fish",2016/11/7,1245
Fruits & Veggies,2016/11/7,2087
Fruits & Veggies,2016/11/7,581
Fruits & Veggies,2016/11/7,1618
Snacks,2016/11/7,1024
Beverages,2016/11/7,1554
"Eggs, Meat & Fish",2016/11/7,1494
Beverages,2016/11/7,554
Oil & Masala,2016/11/7,1623
Food Grains,2016/11/7,1558
Fruits & Veggies,2016/11/7,629
"Eggs, Meat & Fish",2016/11/7,1283
Food Grains,2016/11/7,692
Fruits & Veggies,2016/11/7,711
Oil & Masala,2016/11/8,526
"Eggs, Meat & Fish",2016/11/8,2358
Beverages,2016/11/8,1409
Bakery,2016/11/8,1155
Snacks,2016/11/8,1273
Fruits & Veggies,2016/11/8,1784
Bakery,2016/11/8,912
"Eggs, Meat & Fish",2016/11/8,917
Food Grains,2016/11/8,1713
Bakery,2016/11/8,763
"Eggs, Meat & Fish",2016/11/8,1625
Fruits & Veggies,2016/11/8,508
Food Grains,2016/11/8,2353
"Eggs, Meat & Fish",2016/11/8,2117
Fruits & Veggies,2016/11/8,1431
Oil & Masala,2016/11/8,1451
Bakery,2016/11/8,2140
Beverages,2016/11/8,1840
Food Grains,2016/11/8,1406
"Eggs, Meat & Fish",2016/11/8,2292
Food Grains,2016/11/8,1393
Snacks,2016/11/8,860
Oil & Masala,2016/11/8,2419
Beverages,2016/11/8,1276
"Eggs, Meat & Fish",2016/11/8,2406
Oil & Masala,2016/11/8,1504
Snacks,2016/11/8,1047
Fruits & Veggies,2016/11/9,774
Oil & Masala,2016/11/9,2202
"Eggs, Meat & Fish",2016/11/9,2012
Fruits & Veggies,2016/11/9,778
